courier_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
49747,4,39,190,190.99,31285.152,1,,,0
49748,4,39,191,191.99,31448.952,1,,,0
49749,4,39,192,192.99,31612.752,1,,,0
49750,4,39,193,193.99,31776.552,1,,,0
49751,4,39,194,194.99,31940.352,1,,,0
49752,4,39,195,195.99,32104.152,1,,,0
49753,4,39,196,196.99,32267.952,1,,,0
49754,4,39,197,197.99,32431.752,1,,,0
49755,4,39,198,198.99,32595.552,1,,,0
49756,4,39,199,199.99,32759.352,1,,,0
49757,4,39,200,200.99,32923.152,1,,,0
49758,4,39,201,201.99,33086.952,1,,,0
49759,4,39,202,202.99,33250.752,1,,,0
49760,4,39,203,203.99,33414.552,1,,,0
49761,4,39,204,204.99,33578.352,1,,,0
49762,4,39,205,205.99,33742.152,1,,,0
49763,4,39,206,206.99,33905.952,1,,,0
49764,4,39,207,207.99,34069.752,1,,,0
49765,4,39,208,208.99,34233.552,1,,,0
49766,4,39,209,209.99,34397.352,1,,,0
49767,4,39,210,210.99,34561.152,1,,,0
49768,4,39,211,211.99,34724.952,1,,,0
49769,4,39,212,212.99,34888.752,1,,,0
49770,4,39,213,213.99,35052.552,1,,,0
49771,4,39,214,214.99,35216.352,1,,,0
49772,4,39,215,215.99,35380.152,1,,,0
49773,4,39,216,216.99,35543.952,1,,,0
49774,4,39,217,217.99,35707.752,1,,,0
49775,4,39,218,218.99,35871.552,1,,,0
49776,4,39,219,219.99,36035.352,1,,,0
49777,4,39,220,220.99,36199.152,1,,,0
49778,4,39,221,221.99,36362.952,1,,,0
49779,4,39,222,222.99,36526.752,1,,,0
49780,4,39,223,223.99,36690.552,1,,,0
49781,4,39,224,224.99,36854.352,1,,,0
49782,4,39,225,225.99,37018.152,1,,,0
49783,4,39,226,226.99,37181.952,1,,,0
49784,4,39,227,227.99,37345.752,1,,,0
49785,4,39,228,228.99,37509.552,1,,,0
49786,4,39,229,229.99,37673.352,1,,,0
49787,4,39,230,230.99,37837.152,1,,,0
49788,4,39,231,231.99,38000.952,1,,,0
49789,4,39,232,232.99,38164.752,1,,,0
49790,4,39,233,233.99,38328.552,1,,,0
49791,4,39,234,234.99,38492.352,1,,,0
49792,4,39,235,235.99,38656.152,1,,,0
49793,4,39,236,236.99,38819.952,1,,,0
49794,4,39,237,237.99,38983.752,1,,,0
49795,4,39,238,238.99,39147.552,1,,,0
49796,4,39,239,239.99,39311.352,1,,,0
49797,4,39,240,240.99,39475.152,1,,,0
49798,4,39,241,241.99,39638.952,1,,,0
49799,4,39,242,242.99,39802.752,1,,,0
49800,4,39,243,243.99,39966.552,1,,,0
49801,4,39,244,244.99,40130.352,1,,,0
49802,4,39,245,245.99,40294.152,1,,,0
49803,4,39,246,246.99,40457.952,1,,,0
49804,4,39,247,247.99,40621.752,1,,,0
49805,4,39,248,248.99,40785.552,1,,,0
49806,4,39,249,249.99,40949.352,1,,,0
49807,4,39,250,250.99,41113.152,1,,,0
49808,4,39,251,251.99,41276.952,1,,,0
49809,4,39,252,252.99,41440.752,1,,,0
49810,4,39,253,253.99,41604.552,1,,,0
49811,4,39,254,254.99,41768.352,1,,,0
49812,4,39,255,255.99,41932.152,1,,,0
49813,4,39,256,256.99,42095.952,1,,,0
49814,4,39,257,257.99,42259.752,1,,,0
49815,4,39,258,258.99,42423.552,1,,,0
49816,4,39,259,259.99,42587.352,1,,,0
49817,4,39,260,260.99,42751.152,1,,,0
49818,4,39,261,261.99,42914.952,1,,,0
49819,4,39,262,262.99,43078.752,1,,,0
49820,4,39,263,263.99,43242.552,1,,,0
49821,4,39,264,264.99,43406.352,1,,,0
49822,4,39,265,265.99,43570.152,1,,,0
49823,4,39,266,266.99,43733.952,1,,,0
49824,4,39,267,267.99,43897.752,1,,,0
49825,4,39,268,268.99,44061.552,1,,,0
49826,4,39,269,269.99,44225.352,1,,,0
49827,4,39,270,270.99,44389.152,1,,,0
49828,4,39,271,271.99,44552.952,1,,,0
49829,4,39,272,272.99,44716.752,1,,,0
49830,4,39,273,273.99,44880.552,1,,,0
49831,4,39,274,274.99,45044.352,1,,,0
49832,4,39,275,275.99,45208.152,1,,,0
49833,4,39,276,276.99,45371.952,1,,,0
49834,4,39,277,277.99,45535.752,1,,,0
49835,4,39,278,278.99,45699.552,1,,,0
49836,4,39,279,279.99,45863.352,1,,,0
49837,4,39,280,280.99,46027.152,1,,,0
49838,4,39,281,281.99,46190.952,1,,,0
49839,4,39,282,282.99,46354.752,1,,,0
49840,4,39,283,283.99,46518.552,1,,,0
49841,4,39,284,284.99,46682.352,1,,,0
49842,4,39,285,285.99,46846.152,1,,,0
49843,4,39,286,286.99,47009.952,1,,,0
49844,4,39,287,287.99,47173.752,1,,,0
49845,4,39,288,288.99,47337.552,1,,,0
49846,4,39,289,289.99,47501.352,1,,,0
49847,4,39,290,290.99,47665.152,1,,,0
49848,4,39,291,291.99,47828.952,1,,,0
49849,4,39,292,292.99,47992.752,1,,,0
49850,4,39,293,293.99,48156.552,1,,,0
49851,4,39,294,294.99,48320.352,1,,,0
49852,4,39,295,295.99,48484.152,1,,,0
49853,4,39,296,296.99,48647.952,1,,,0
49854,4,39,297,297.99,48811.752,1,,,0
49855,4,39,298,298.99,48975.552,1,,,0
49856,4,39,299,299.99,49139.352,1,,,0
49857,4,39,300,300.99,49303.152,1,,,0
49858,4,39,301,301.99,49466.952,1,,,0
49859,4,39,302,302.99,49630.752,1,,,0
49860,4,39,303,303.99,49794.552,1,,,0
49861,4,39,304,304.99,49958.352,1,,,0
49862,4,39,305,305.99,50122.152,1,,,0
49863,4,39,306,306.99,50285.952,1,,,0
49864,4,39,307,307.99,50449.752,1,,,0
49865,4,39,308,308.99,50613.552,1,,,0
49866,4,39,309,309.99,50777.352,1,,,0
49867,4,39,310,310.99,50941.152,1,,,0
49868,4,39,311,311.99,51104.952,1,,,0
49869,4,39,312,312.99,51268.752,1,,,0
49870,4,39,313,313.99,51432.552,1,,,0
49871,4,39,314,314.99,51596.352,1,,,0
49872,4,39,315,315.99,51760.152,1,,,0
49873,4,39,316,316.99,51923.952,1,,,0
49874,4,39,317,317.99,52087.752,1,,,0
49875,4,39,318,318.99,52251.552,1,,,0
49876,4,39,319,319.99,52415.352,1,,,0
49877,4,39,320,320.99,52579.152,1,,,0
49878,4,39,321,321.99,52742.952,1,,,0
49879,4,39,322,322.99,52906.752,1,,,0
49880,4,39,323,323.99,53070.552,1,,,0
49881,4,39,324,324.99,53234.352,1,,,0
49882,4,39,325,325.99,53398.152,1,,,0
49883,4,39,326,326.99,53561.952,1,,,0
49884,4,39,327,327.99,53725.752,1,,,0
49885,4,39,328,328.99,53889.552,1,,,0
49886,4,39,329,329.99,54053.352,1,,,0
49887,4,39,330,330.99,54217.152,1,,,0
49888,4,39,331,331.99,54380.952,1,,,0
49889,4,39,332,332.99,54544.752,1,,,0
49890,4,39,333,333.99,54708.552,1,,,0
49891,4,39,334,334.99,54872.352,1,,,0
49892,4,39,335,335.99,55036.152,1,,,0
49893,4,39,336,336.99,55199.952,1,,,0
49894,4,39,337,337.99,55363.752,1,,,0
49895,4,39,338,338.99,55527.552,1,,,0
49896,4,39,339,339.99,55691.352,1,,,0
49897,4,39,340,340.99,55855.152,1,,,0
49898,4,39,341,341.99,56018.952,1,,,0
49899,4,39,342,342.99,56182.752,1,,,0
49900,4,39,343,343.99,56346.552,1,,,0
49901,4,39,344,344.99,56510.352,1,,,0
49902,4,39,345,345.99,56674.152,1,,,0
49903,4,39,346,346.99,56837.952,1,,,0
49904,4,39,347,347.99,57001.752,1,,,0
49905,4,39,348,348.99,57165.552,1,,,0
49906,4,39,349,349.99,57329.352,1,,,0
49907,4,39,350,350.99,57493.152,1,,,0
49908,4,39,351,351.99,57656.952,1,,,0
49909,4,39,352,352.99,57820.752,1,,,0
49910,4,39,353,353.99,57984.552,1,,,0
49911,4,39,354,354.99,58148.352,1,,,0
49912,4,39,355,355.99,58312.152,1,,,0
49913,4,39,356,356.99,58475.952,1,,,0
49914,4,39,357,357.99,58639.752,1,,,0
49915,4,39,358,358.99,58803.552,1,,,0
49916,4,39,359,359.99,58967.352,1,,,0
49917,4,39,360,360.99,59131.152,1,,,0
49918,4,39,361,361.99,59294.952,1,,,0
49919,4,39,362,362.99,59458.752,1,,,0
49920,4,39,363,363.99,59622.552,1,,,0
49921,4,39,364,364.99,59786.352,1,,,0
49922,4,39,365,365.99,59950.152,1,,,0
49923,4,39,366,366.99,60113.952,1,,,0
49924,4,39,367,367.99,60277.752,1,,,0
49925,4,39,368,368.99,60441.552,1,,,0
49926,4,39,369,369.99,60605.352,1,,,0
49927,4,39,370,370.99,60769.152,1,,,0
49928,4,39,371,371.99,60932.952,1,,,0
49929,4,39,372,372.99,61096.752,1,,,0
49930,4,39,373,373.99,61260.552,1,,,0
49931,4,39,374,374.99,61424.352,1,,,0
49932,4,39,375,375.99,61588.152,1,,,0
49933,4,39,376,376.99,61751.952,1,,,0
49934,4,39,377,377.99,61915.752,1,,,0
49935,4,39,378,378.99,62079.552,1,,,0
49936,4,39,379,379.99,62243.352,1,,,0
49937,4,39,380,380.99,62407.152,1,,,0
49938,4,39,381,381.99,62570.952,1,,,0
49939,4,39,382,382.99,62734.752,1,,,0
49940,4,39,383,383.99,62898.552,1,,,0
49941,4,39,384,384.99,63062.352,1,,,0
49942,4,39,385,385.99,63226.152,1,,,0
49943,4,39,386,386.99,63389.952,1,,,0
49944,4,39,387,387.99,63553.752,1,,,0
49945,4,39,388,388.99,63717.552,1,,,0
49946,4,39,389,389.99,63881.352,1,,,0
49947,4,39,390,390.99,64045.152,1,,,0
49948,4,39,391,391.99,64208.952,1,,,0
49949,4,39,392,392.99,64372.752,1,,,0
49950,4,39,393,393.99,64536.552,1,,,0
49951,4,39,394,394.99,64700.352,1,,,0
49952,4,39,395,395.99,64864.152,1,,,0
49953,4,39,396,396.99,65027.952,1,,,0
49954,4,39,397,397.99,65191.752,1,,,0
49955,4,39,398,398.99,65355.552,1,,,0
49956,4,39,399,399.99,65519.352,1,,,0
49957,4,39,400,400.99,65683.152,1,,,0
49958,4,39,401,401.99,65846.952,1,,,0
49959,4,39,402,402.99,66010.752,1,,,0
49960,4,39,403,403.99,66174.552,1,,,0
49961,4,39,404,404.99,66338.352,1,,,0
49962,4,39,405,405.99,66502.152,1,,,0
49963,4,39,406,406.99,66665.952,1,,,0
49964,4,39,407,407.99,66829.752,1,,,0
49965,4,39,408,408.99,66993.552,1,,,0
49966,4,39,409,409.99,67157.352,1,,,0
49967,4,39,410,410.99,67321.152,1,,,0
49968,4,39,411,411.99,67484.952,1,,,0
49969,4,39,412,412.99,67648.752,1,,,0
49970,4,39,413,413.99,67812.552,1,,,0
49971,4,39,414,414.99,67976.352,1,,,0
