courier_zone_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
54787,4,44,275,275.99,60277.206,1,,,0
54788,4,44,276,276.99,60495.606,1,,,0
54789,4,44,277,277.99,60714.006,1,,,0
54790,4,44,278,278.99,60932.406,1,,,0
54791,4,44,279,279.99,61150.806,1,,,0
54792,4,44,280,280.99,61369.206,1,,,0
54793,4,44,281,281.99,61587.606,1,,,0
54794,4,44,282,282.99,61806.006,1,,,0
54795,4,44,283,283.99,62024.406,1,,,0
54796,4,44,284,284.99,62242.806,1,,,0
54797,4,44,285,285.99,62461.206,1,,,0
54798,4,44,286,286.99,62679.606,1,,,0
54799,4,44,287,287.99,62898.006,1,,,0
54800,4,44,288,288.99,63116.406,1,,,0
54801,4,44,289,289.99,63334.806,1,,,0
54802,4,44,290,290.99,63553.206,1,,,0
54803,4,44,291,291.99,63771.606,1,,,0
54804,4,44,292,292.99,63990.006,1,,,0
54805,4,44,293,293.99,64208.406,1,,,0
54806,4,44,294,294.99,64426.806,1,,,0
54807,4,44,295,295.99,64645.206,1,,,0
54808,4,44,296,296.99,64863.606,1,,,0
54809,4,44,297,297.99,65082.006,1,,,0
54810,4,44,298,298.99,65300.406,1,,,0
54811,4,44,299,299.99,65518.806,1,,,0
54812,4,44,300,300.99,65737.206,1,,,0
54813,4,44,301,301.99,65955.606,1,,,0
54814,4,44,302,302.99,66174.006,1,,,0
54815,4,44,303,303.99,66392.406,1,,,0
54816,4,44,304,304.99,66610.806,1,,,0
54817,4,44,305,305.99,66829.206,1,,,0
54818,4,44,306,306.99,67047.606,1,,,0
54819,4,44,307,307.99,67266.006,1,,,0
54820,4,44,308,308.99,67484.406,1,,,0
54821,4,44,309,309.99,67702.806,1,,,0
54822,4,44,310,310.99,67921.206,1,,,0
54823,4,44,311,311.99,68139.606,1,,,0
54824,4,44,312,312.99,68358.006,1,,,0
54825,4,44,313,313.99,68576.406,1,,,0
54826,4,44,314,314.99,68794.806,1,,,0
54827,4,44,315,315.99,69013.206,1,,,0
54828,4,44,316,316.99,69231.606,1,,,0
54829,4,44,317,317.99,69450.006,1,,,0
54830,4,44,318,318.99,69668.406,1,,,0
54831,4,44,319,319.99,69886.806,1,,,0
54832,4,44,320,320.99,70105.206,1,,,0
54833,4,44,321,321.99,70323.606,1,,,0
54834,4,44,322,322.99,70542.006,1,,,0
54835,4,44,323,323.99,70760.406,1,,,0
54836,4,44,324,324.99,70978.806,1,,,0
54837,4,44,325,325.99,71197.206,1,,,0
54838,4,44,326,326.99,71415.606,1,,,0
54839,4,44,327,327.99,71634.006,1,,,0
54840,4,44,328,328.99,71852.406,1,,,0
54841,4,44,329,329.99,72070.806,1,,,0
54842,4,44,330,330.99,72289.206,1,,,0
54843,4,44,331,331.99,72507.606,1,,,0
54844,4,44,332,332.99,72726.006,1,,,0
54845,4,44,333,333.99,72944.406,1,,,0
54846,4,44,334,334.99,73162.806,1,,,0
54847,4,44,335,335.99,73381.206,1,,,0
54848,4,44,336,336.99,73599.606,1,,,0
54849,4,44,337,337.99,73818.006,1,,,0
54850,4,44,338,338.99,74036.406,1,,,0
54851,4,44,339,339.99,74254.806,1,,,0
54852,4,44,340,340.99,74473.206,1,,,0
54853,4,44,341,341.99,74691.606,1,,,0
54854,4,44,342,342.99,74910.006,1,,,0
54855,4,44,343,343.99,75128.406,1,,,0
54856,4,44,344,344.99,75346.806,1,,,0
54857,4,44,345,345.99,75565.206,1,,,0
54858,4,44,346,346.99,75783.606,1,,,0
54859,4,44,347,347.99,76002.006,1,,,0
54860,4,44,348,348.99,76220.406,1,,,0
54861,4,44,349,349.99,76438.806,1,,,0
54862,4,44,350,350.99,76657.206,1,,,0
54863,4,44,351,351.99,76875.606,1,,,0
54864,4,44,352,352.99,77094.006,1,,,0
54865,4,44,353,353.99,77312.406,1,,,0
54866,4,44,354,354.99,77530.806,1,,,0
54867,4,44,355,355.99,77749.206,1,,,0
54868,4,44,356,356.99,77967.606,1,,,0
54869,4,44,357,357.99,78186.006,1,,,0
54870,4,44,358,358.99,78404.406,1,,,0
54871,4,44,359,359.99,78622.806,1,,,0
54872,4,44,360,360.99,78841.206,1,,,0
54873,4,44,361,361.99,79059.606,1,,,0
54874,4,44,362,362.99,79278.006,1,,,0
54875,4,44,363,363.99,79496.406,1,,,0
54876,4,44,364,364.99,79714.806,1,,,0
54877,4,44,365,365.99,79933.206,1,,,0
54878,4,44,366,366.99,80151.606,1,,,0
54879,4,44,367,367.99,80370.006,1,,,0
54880,4,44,368,368.99,80588.406,1,,,0
54881,4,44,369,369.99,80806.806,1,,,0
54882,4,44,370,370.99,81025.206,1,,,0
54883,4,44,371,371.99,81243.606,1,,,0
